"Mouse_ID","experiment","primary_infection","challenge_infection","mouse_strain","labels","weight","weight_dpi0","relative_weight","Feces_Weight","dpi","infection","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","OO4sq","OOC","infection_history","MC.Eimeria","delta_ct_cewe_MminusE","IFNy_CEWE","IFNy_MES","IRG6","IL.12","IL.12A","PPIB","IL.17A","GAPDH","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","OPG_O","IFNy_FEC","Caecum","Treg_prop","IL17A_CD4","batch","max_dpi","max_OOC","max_WL","death","hybrid_status","Parasite_primary","Parasite_challenge","WL_max","origin","current_infection","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","Dissection_Date","Spleen","Trichuris_muris","Zfy2","Y","Mastophorus_muris","Catenotaenia_pusilla","Address","Status","Left_Embryo","Right_Embryo","Worms_presence","Heligmosomoides_polygurus","Heterakis_sp","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","PBS_dil_in_mL","OPG","Ncells","Region","Body_Weight","Body_Length","Ectoparasites_Logical","Left_Epididymis","Fleas","Liver","Right_Ovarium_Weight","Left_Ovarium_Weight","Seminal_Vesicles_Weight","Left_Testis","Right_Testis","Tail_Length","Trap_Date","eimeriaSpecies","Ct.Eimeria","Ct.Mus","Oocyst_Predict_Crypto","ILWE_Crypto_Ct","ILWE_DNA_Content_ng.microliter","Ticks","Host","Aspiculuris_sp","Syphacia_sp","Taenia_sp","Hymenolepis_sp","Sperm","FEC_Eim_Ct","MC.Eimeria.FEC","MCs","IFNy","CXCR3","IL.6","IL.13","IL.10","IL1RN","CASP1","CXCL9","IDO1","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PRF1","RETNLB","SOCS1","TICAM1","TNF"
"AA0053",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6024802427078,NA,3.92567749942915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field",NA,"F",13.9289,52.5028,2016,"d",NA,"mm","mm","dd","dd","mm",NA,"100","100","100/125","120","70/100","80","mm","dd","dm","mm","dm","mm",12,0.608695652,"2016-09-24",NA,0,NA,NA,0,0,NA,NA,NA,NA,TRUE,NA,12,"Alice","April2018",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",20.184,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,"2016-09-23",NA,NA,NA,385,34.16,NA,NA,NA,338,0,1,0,NA,NA,NA,NA,55599.4666572185,9018.93804756845,NA,97975.2955559908,13944.867779528,1585684.77098195,2824.0435769879,187830.471155121,995273.058140395,6206583.29862413,275747.829672217,2565250.23741844,15288757.2913031,1449260.85835831,284.423395550689,2388.03121438838,5555055.23922708,2669274.66175028,17167.6638924336,39374.7819977467
"AA0061",NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5500995252626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field",NA,"M",13.599425,52.273117,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,0,"2016-09-24",17,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"dom",11.937,72,NA,8,NA,NA,NA,NA,NA,0.044,0.047,80,"2016-09-23",NA,NA,NA,0,0,NA,NA,NA,0,15,0,0,NA,NA,NA,NA,NA,36.1142986482148,360.51554277917,1674723.25083623,NA,1366.92725553193,NA,549.058593735924,50.1887971957199,7126769.99223502,44.4378127748584,2759153.24422396,4161.42184267046,39154.7478942015,65.6556264341831,3004.51177790649,NA,4625534.72771621,36459.7409731579,38.9259720870875
"AA0065",NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8015916522179,NA,4.50656058684483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field",NA,"M",13.4642,52.4164,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,0,"2016-09-25",37,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Alice","April2018",1,0,0,0,1,0,0,0,0.25,0.1,10000,8,"dom",14,75,NA,6,NA,NA,NA,NA,8,0.021,0.024,81,"2016-09-24",NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,76.7756488728266,NA,50.6909780360706,59.3481264719617,492.390966824978,1218.32641721085,NA,22.7305484117259,4884328.64911336,NA,209.913989339351,2154.62923557725,NA,NA,NA,927.767768749195,4040202.07291698,NA,68.6929090665646
"AA0067",NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6305728470997,NA,3.12156720530363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field",NA,"M",13.4642,52.4164,2016,"d","d","d","d","d","d","d","d","94","95/100","100","100/120","100","100","dd","dm","dd","dm","dd","dd",14,0.1,"2016-09-25",26,0,NA,NA,0,0,NA,NA,NA,NA,TRUE,NA,0,"Alice","April2018",1,0,0,0,0,0,0,0,0.125,0.1,5000,8,"dom",18.73,79,NA,31,NA,NA,NA,NA,153,0.094,0.094,86,"2016-09-24",NA,NA,NA,0,0,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,2095.42931294175,9185.99961478894,252.817961456788,6378.16862638012,161.769709522879,66914.1310822261,10258.4072935109,3989.20213282882,34126.9116680817,6378498.87434089,194739.790030881,2870114.90592827,14882175.1487166,34192419.6600281,99.5986047518777,54.6481334204442,5128105.0674407,2796259.65690408,431.29702963563,8536.05477807828
"AA0078",NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.767780825888,NA,4.29764885524109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field",NA,"F",13.5883,52.2156,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0,"2016-09-25",45,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"dom",14.418,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,"2016-09-24",NA,NA,NA,7138,29.85,NA,NA,NA,0,26,0,0,NA,NA,NA,NA,11641.6369403862,19336.8520986436,1397.39169141899,660113.426721832,8936.38810581935,1578521.44538156,19037.1357618762,40667.062453777,1271688.65451006,5921320.83828703,268905.396826836,2793311.84517633,15038399.1790826,34911035.594668,29.9284785032095,105.11663579862,9830718.75617167,2327747.28367344,326038.101414769,39049.9591664376
"AA0079",NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7569449341067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field",NA,"M",13.84,52.2678,2016,"d","m","d","d","d","d","d","d","94","100","100","100","70/100","100","dd","dd","dd","dd","dm","dd",14,0.1,"2016-09-25",71,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",14.533,75,NA,24,NA,NA,NA,NA,155,0.074,0.078,83,"2016-09-24",NA,NA,NA,0,0,NA,NA,NA,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5049622.57871224,NA,916202.742370113,3862858.2544605,11834294.8089452,NA,NA,7821433.66928735,966364.315695426,NA,NA
"AA0082",NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2101401185063,NA,3.91407628870872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field",NA,"F",13.84,52.2678,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0,"2016-09-25",33,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Alice","April2018",1,0,0,0,0,0,0,0,0.125,0.1,5000,8,"DyM",12.015,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,"2016-09-24",NA,NA,NA,0,0,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,92625.7264068312,15299.9738520155,13727.6913144509,150787.045176737,10235.3009643805,2293870.63786876,4231.86111337795,666019.653649418,2218525.43666807,7216119.73213752,268960.814049118,3001256.70357839,16798155.1271037,38108205.6996453,257.792090332831,NA,17444162.3192328,3264697.82593963,40584.2913470465,9280.14126706347
"AA0086",NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.81048918431102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field",NA,"M",13.676085,52.497666,2016,"d","m",NA,"d",NA,"d","d","d","94","100","100","100","100","80","dd","dd","dd","dd","dd","mm",11,0.117647059,"2016-09-26",14,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",16.173,75,NA,36,NA,NA,NA,NA,108,0.063,0.065,93,"2016-09-24",NA,NA,NA,0,0,NA,NA,NA,0,10,0,0,NA,NA,NA,NA,107698.156680132,32645.2594918291,15123.8804676117,33260963.2197622,NA,4299594.09903447,NA,37867.8520190132,3717008.82744917,5724856.42820066,185166.73364231,3243046.10983689,16181516.6870079,818810.26392713,7888.11596841169,NA,NA,2265032.8759963,412556.14145419,23909.3699319826
"AA0090",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.24010438280007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field",NA,"M",13.7072,52.2422,2016,"d","m",NA,NA,NA,"d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",8,0,"2016-09-26",15,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",11.176,75,NA,16,NA,NA,NA,NA,56,0.049,0.051,76,"2016-09-25",NA,NA,NA,0,0,NA,NA,NA,0,3,0,0,NA,NA,NA,NA,NA,8088.94109723716,NA,29172598.8807822,NA,NA,NA,1921.67121526748,368.005751530889,5028415.53160289,468.815707391812,2298544.79906936,12060653.2393992,25592.0745181362,145.144886033345,99.5886891973832,NA,1814191.59158331,3548.09098402968,817.511963484362
"AA0093",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.62477670396179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field",NA,"M",13.3047,52.9936,2016,NA,"m","d",NA,NA,NA,"d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",10,0.0625,"2016-09-26",26,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",16.258,81,NA,28,TRUE,NA,NA,NA,166,0.08,0.083,85,"2016-09-25",NA,NA,NA,0,0,NA,NA,NA,0,3,0,0,NA,NA,NA,NA,1111.90156495596,16510.3918825407,4411.87349222333,36651227.3692137,NA,3884252.56280614,NA,15508.0089779563,2636354.45557296,6532784.39940908,313552.921085209,2967376.66048548,17038458.812826,147993.690594095,334.523660382867,1655.94181892114,NA,2956417.02090946,93940.4344268681,6250.07747889031
