"Mouse_ID","experiment","primary_infection","challenge_infection","mouse_strain","labels","weight","weight_dpi0","relative_weight","Feces_Weight","dpi","infection","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","OO4sq","OOC","infection_history","MC.Eimeria","delta_ct_cewe_MminusE","IFNy_CEWE","IFNy_MES","IRG6","IL.12","IL.12A","PPIB","IL.17A","GAPDH","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","OPG_O","IFNy_FEC","Caecum","Treg_prop","IL17A_CD4","batch","max_dpi","max_OOC","max_WL","death","hybrid_status","Parasite_primary","Parasite_challenge","WL_max","origin","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","Dissection_Date","Spleen","Trichuris_muris","Zfy2","Y","Mastophorus_muris","Catenotaenia_pusilla","Address","Status","Left_Embryo","Right_Embryo","Worms_presence","Heligmosomoides_polygurus","Heterakis_sp","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","PBS_dil_in_mL","OPG","Ncells","Region","Body_Weight","Body_Length","Ectoparasites_Logical","Left_Epididymis","Fleas","Liver","Right_Ovarium_Weight","Left_Ovarium_Weight","Seminal_Vesicles_Weight","Left_Testis","Right_Testis","Tail_Length","Trap_Date","eimeriaSpecies","Ct.Eimeria","Ct.Mus","Oocyst_Predict_Crypto","ILWE_Crypto_Ct","ILWE_DNA_Content_ng.microliter","Ticks","Host","Aspiculuris_sp","Syphacia_sp","Taenia_sp","Hymenolepis_sp","Sperm","FEC_Eim_Ct","MC.Eimeria.FEC","MCs","IL.10","IFNy","CXCR3","IL.6","IL.13","IL1RN","CASP1","CXCL9","IDO1","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PRF1","RETNLB","SOCS1","TICAM1","TNF"
"AA0053",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6024802427078,NA,3.92567749942915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","F",13.9289,52.5028,2016,"d",NA,"mm","mm","dd","dd","mm",NA,"100","100","100/125","120","70/100","80","mm","dd","dm","mm","dm","mm",12,0.608695652,"2016-09-24",NA,0,NA,NA,0,0,NA,NA,NA,NA,TRUE,NA,12,"Alice","April2018",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",20.184,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,"2016-09-23",NA,NA,NA,385,34.16,NA,NA,NA,338,0,1,0,NA,NA,NA,NA,8.61777437037383,6.38593521191035,5.39277634666427,5.98802105311511,2.39634113841063,7.00890977794665,3.93427616660277,8.91223980877737,6.3720612541436,5.90763778599405,6.86536466035238,6.10172529362633,6.54909698284128,7.15650165624511,2.72232932181694,6.34357274658738,5.74489556291498,5.84759029950093,5.49149804849814,7.46554851684511
"AA0061",NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5500995252626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","M",13.599425,52.273117,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,0,"2016-09-24",17,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"dom",11.937,72,NA,8,NA,NA,NA,NA,NA,0.044,0.047,80,"2016-09-23",NA,NA,NA,0,0,NA,NA,NA,0,15,0,0,NA,NA,NA,NA,NA,0.799320900350839,-2.57146726062318,2.41952470258831,6.49170201718618,-3.1710440347947,-0.540575781690738,0.493984515331416,-7.90337814449735,6.10708686126773,-5.73390944088747,6.20685131421524,-5.29401000072364,1.94651543058906,0.607279736488788,6.67488162948653,4.8099304772937,6.64076269241348,6.57810862385909,-2.51677463595784
"AA0065",NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8015916522179,NA,4.50656058684483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","M",13.4642,52.4164,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,0,"2016-09-25",37,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Alice","April2018",1,0,0,0,1,0,0,0,0.25,0.1,10000,8,"dom",14,75,NA,6,NA,NA,NA,NA,8,0.021,0.024,81,"2016-09-24",NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0.741458317369812,-4.71144963932032,-1.48338861339874,3.71198109957829,-8.52013216649649,-4.64410430297297,2.72141453169295,-1.49672212307229,-9.04611102400962,5.5619987747759,1.04281493427833,-7.4752883363353,-6.24364690778091,5.00663046789893,2.21520984343694,5.77660570151867,-6.80285434751484,6.44556998860051,-1.43309671805433,-1.69734652145201
"AA0067",NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6305728470997,NA,3.12156720530363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","M",13.4642,52.4164,2016,"d","d","d","d","d","d","d","d","94","95/100","100","100/120","100","100","dd","dm","dd","dm","dd","dd",14,0.1,"2016-09-25",26,0,NA,NA,0,0,NA,NA,NA,NA,TRUE,NA,0,"Alice","April2018",1,0,0,0,0,0,0,0,0.125,0.1,5000,8,"dom",18.73,79,NA,31,NA,NA,NA,NA,153,0.094,0.094,86,"2016-09-24",NA,NA,NA,0,0,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,2.18812542175381,1.65618192770813,5.41925549918176,1.90756220683224,-1.54486273625249,2.44225850649153,5.79524866834935,3.35505271969945,1.50595063163048,5.94705543524694,6.36356282103986,6.26373422436484,6.51021124051892,11.7167889764244,1.20848661880352,0.894067081932661,5.62952012612267,5.91464087028849,0.176629902436122,5.25991792039549
"AA0078",NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.767780825888,NA,4.29764885524109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","F",13.5883,52.2156,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0,"2016-09-25",45,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"dom",14.418,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,"2016-09-24",NA,NA,NA,7138,29.85,NA,NA,NA,0,26,0,0,NA,NA,NA,NA,7.97580386337957,4.13015809915019,6.49309982449421,4.3741278057308,5.14856515619377,7.00237764238509,6.68725834475191,6.70474137083971,6.72564245961444,5.83975752360579,6.82911383933772,6.2246023725721,6.52527683916474,11.7467956096857,-0.52611997601592,1.83781396607902,6.56839120573277,5.65007697444447,9.73877297722068,7.45359762072045
"AA0079",NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7569449341067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","M",13.84,52.2678,2016,"d","m","d","d","d","d","d","d","94","100","100","100","70/100","100","dd","dd","dd","dd","dm","dd",14,0.1,"2016-09-25",71,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",14.533,75,NA,24,NA,NA,NA,NA,155,0.074,0.078,83,"2016-09-24",NA,NA,NA,0,0,NA,NA,NA,0,3,0,0,NA,NA,NA,NA,NA,8.68724114931405,8.85456766759092,12.998239862559,0.307995816547169,5.31196239935859,6.22856653879251,10.1567419958871,6.24524122400906,5.61001405865977,6.65122843010419,4.61636451380767,4.56436648198595,10.1860861965275,6.46447784466605,8.35255256607305,6.23852738299723,4.38178162393788,10.0783228644121,10.7782001579639
"AA0082",NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2101401185063,NA,3.91407628870872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","F",13.84,52.2678,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0,"2016-09-25",33,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Alice","April2018",1,0,0,0,0,0,0,0,0.125,0.1,5000,8,"DyM",12.015,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,"2016-09-24",NA,NA,NA,0,0,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,8.1715936398623,7.12227711971072,6.15527605833224,7.67040845053683,3.0183636985992,7.54158781482502,4.51780609603874,10.738373433431,7.52849805304977,6.12506177380697,6.82941112572765,6.32819244841954,6.68492863365251,11.8732141376957,2.58049718065891,5.49797567286438,7.39576671999975,6.1380920015504,6.73272573447471,5.38049525301788
"AA0086",NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.81048918431102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","M",13.676085,52.497666,2016,"d","m",NA,"d",NA,"d","d","d","94","100","100","100","100","80","dd","dd","dd","dd","dd","mm",11,0.117647059,"2016-09-26",14,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",16.173,75,NA,36,NA,NA,NA,NA,108,0.063,0.065,93,"2016-09-24",NA,NA,NA,0,0,NA,NA,NA,0,10,0,0,NA,NA,NA,NA,NA,7.33978582044662,7.24862038026414,7.81014778522113,10.8035373520595,8.44800425088282,7.21237317283061,6.60185417741264,8.27303907290077,5.79107801015019,6.29084006223005,6.4399752638402,6.63097267459089,6.33278545344438,7.51589803832801,7.32031312960442,7.03097521675231,5.6106745271703,10.0783228644121,6.74585269309228
"AA0090",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.24010438280007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","M",13.7072,52.2422,2016,"d","m",NA,NA,NA,"d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",8,0,"2016-09-26",15,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",11.176,75,NA,16,NA,NA,NA,NA,56,0.049,0.051,76,"2016-09-25",NA,NA,NA,0,0,NA,NA,NA,0,3,0,0,NA,NA,NA,NA,NA,0.799320900350839,5.23576963158879,2.72867364506248,10.614321319568,-4.03366515813004,4.62541287199441,2.30131401510308,-5.02908710686198,5.60394237158725,-2.3347482479443,5.94334651239609,6.20693388709823,1.33302527001543,1.75178292317606,1.7598767596171,-1.4364400935863,5.29046935944475,3.21691922240776,1.87566023435733
"AA0093",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.62477670396179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","M",13.3047,52.9936,2016,NA,"m","d",NA,NA,NA,"d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",10,0.0625,"2016-09-26",26,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",16.258,81,NA,28,TRUE,NA,NA,NA,166,0.08,0.083,85,"2016-09-25",NA,NA,NA,0,0,NA,NA,NA,0,3,0,0,NA,NA,NA,NA,NA,0.741965147187589,6.26512123476651,6.032782761391,10.9435689150107,8.30144079259329,2.75863064325155,5.31389406338011,7.77744131095494,5.98153652482076,7.05072408942082,6.31181379281951,6.70542068200252,3.86479193737625,2.95639743579908,5.81540303715142,7.08500246307272,5.99499232153527,7.94355057736168,4.81022256026465
"AA0094",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.635772891352,NA,2.77363255558549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Field","F",13.3047,52.9936,2016,"m",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0.04,"2016-09-26",33,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Alice","April2018",2,1,1,5,3,3,1,4,2.5,0.1,250000,8,"DyM",16.76,81,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,83,"2016-09-25",NA,NA,NA,0,0,NA,NA,NA,0,8,0,0,NA,NA,NA,NA,5.42913205202737,4.91369134895729,5.05831813624671,6.5100229934711,0.875318655566371,0.552905359399688,4.98815691216011,8.32830678869731,4.19825189910804,5.82694090169487,5.67487870043662,6.27906699761804,6.56033265588748,11.4985234151649,1.53275181400448,-1.42121859120288,5.97534412834031,5.7178781838938,5.30073855591278,4.79445141104975
