"Mouse_ID","experiment","primary_infection","challenge_infection","mouse_strain","labels","weight","weight_dpi0","relative_weight","Feces_Weight","dpi","infection","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","OO4sq","OOC","infection_history","MC.Eimeria","delta_ct_cewe_MminusE","IFNy_CEWE","IFNy_MES","IRG6","IL.12","IL.12A","IL.17A","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","OPG_O","IFNy_FEC","Caecum","Treg_prop","IL17A_CD4","batch","max_dpi","max_OOC","max_WL","death","hybrid_status","Parasite_primary","Parasite_challenge","WL_max","origin","current_infection","immunization","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","Dissection_Date","Spleen","Trichuris_muris","Zfy2","Y","Mastophorus_muris","Catenotaenia_pusilla","Address","Status","Left_Embryo","Right_Embryo","Worms_presence","Heligmosomoides_polygurus","Heterakis_sp","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","PBS_dil_in_mL","OPG","Ncells","Region","Body_Weight","Body_Length","Ectoparasites_Logical","Left_Epididymis","Fleas","Liver","Right_Ovarium_Weight","Left_Ovarium_Weight","Seminal_Vesicles_Weight","Left_Testis","Right_Testis","Tail_Length","Trap_Date","eimeriaSpecies","Ct.Eimeria","Ct.Mus","Oocyst_Predict_Crypto","ILWE_Crypto_Ct","ILWE_DNA_Content_ng.microliter","Ticks","Host","Aspiculuris_sp","Syphacia_sp","Taenia_sp","Hymenolepis_sp","Sperm","FEC_Eim_Ct","MC.Eimeria.FEC","MCs","IFNy","CXCR3","IL.6","IL.13","IL1RN","CASP1","CXCL9","IDO1","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PRF1","RETNLB","SOCS1","TICAM1","TNF","GAPDH","PPIB","pc1","pc2","pc3","pc4","pc5","residuals_pc1_pc2"
"LM0371","E10","E64","E64","PWD_PWD","E10aKBG",12.62,16.15,78.1424148606811,0.2,5,"primary",55,40,49,60,1,204,510000,"ferrisi_ferrisi",TRUE,5.3077775064899,NA,NA,NA,NA,21.9301813924876,21.8115165082677,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,510000,78.1424148606811,"primary","F0 M. m. musculus","E_ferrisi","E_ferrisi",21.8575851393189,"Lab","E_ferrisi","homologous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.3495610389716,-11.6059757998483,-13.8923046325778,-16.9090619824907,-16.8644022407846,-17.3992707498521,-11.2719325349649,-13.8942780499583,-17.0128237630407,-17.8983062182892,-17.3434789745463,-19.2191741114308,-15.5667497554964,-18.9976990645395,-19.7625984018609,-11.9101858738528,-20.1878528082879,-14.3500876640952,-11.6751555166238,-17.2176033489067,-13.0548339826229,2.9962103762665,-0.993426436453094,-0.237841560941182,-0.160654689176808,0.267500141822933,9.39507567913834
"LM0374","E10","E64","E88","PWD_PWD","E10aHRM",12.59,17.27,72.9009843659525,0.44,6,"primary",163,122,124,149,1,558,1395000,"ferrisi_falciformis",TRUE,4.09938905453927,NA,NA,NA,NA,20.4621375054328,21.0300395520089,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1550000,72.9009843659525,"primary","F0 M. m. musculus","E_ferrisi","E_falciformis",27.0990156340475,"Lab","E_falciformis","heterologous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.0238729060243,-14.8125733985139,-14.2589592688923,-17.0425255924029,-16.4768156260357,-16.9203575437544,-13.4744218707955,-15.7996578345084,-17.2285834669434,-17.3850862067012,-17.8512386791389,-18.6539884486331,-15.7952689654552,-18.0170533406226,-19.1496586400274,-12.241879137833,-19.5134906165118,-14.278637865199,-11.9875815527061,-17.8224942837984,-13.5536046728497,2.49478011257865,-1.22772929864178,-0.0570475802037642,0.000600924185359673,-0.013567124769309,14.5519637808716
"LM0378","E10","E64","UNI","PWD_PWD","E10aLNM",12.27,15.36,79.8828125,0.44,5,"primary",101,125,112,91,1,429,1072500,"ferrisi_uninfected",TRUE,4.765277852211,NA,NA,NA,NA,21.3778271849032,21.3090658509249,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1072500,79.8828125,"primary","F0 M. m. musculus","E_ferrisi","uninfected",20.1171875,"Lab","E_falciformis","uninfected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.8830894986163,-11.4433465808936,-11.8250682232843,-16.3213728140221,-16.8269175666369,-21.8591509300859,-11.5354152213468,-13.1914152365858,-17.2065273479958,-20.1508208137418,-14.9223518344854,-20.0921492371158,-15.1956409263771,-16.0064022256542,-17.0753533719678,-11.1323810072133,-21.2313899769044,-12.3500607048055,-11.4021515345478,-19.0030795422631,-11.8047144339677,3.67240232038179,-0.245399286167086,-1.40775825170114,-0.149785410876965,0.199504065864398,8.36547876456515
"LM0381","E10","E88","E88","SCHUNT_SCHUNT","E10aADZ",11.74,14.8,79.3243243243243,0.34,8,"primary",8,3,15,11,1,37,92500,"falciformis_falciformis",TRUE,5.83782153484687,NA,NA,NA,NA,20.7888767521426,27.5763602239809,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,92500,79.3243243243243,"primary","F0 M. m. domesticus","E_falciformis","E_falciformis",20.6756756756757,"Lab","E_falciformis","homologous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.8270670031005,-15.2082089371064,-12.0954055178267,-17.8199914028549,-17.6438651291082,-16.3393990018787,-13.6076713455855,-17.0333063967557,-20.5762050780088,-17.9296192275835,-20.1678318309897,-19.3232530284004,-17.7265612013102,-18.4383444750803,-19.4449477714243,-19.1856013587685,-20.5286644440404,-18.6443846125891,-14.7347834490799,-19.3290791498062,-16.0260741101993,0.915435541205795,-3.05768944097971,-0.200995553261777,-0.106293132831332,-0.700026019888009,6.35402992943855
"LM0382","E10","E88","E88","PWD_PWD","E10aBQF",14.03,17.96,78.1180400890868,NA,10,"primary",NA,NA,NA,NA,1,NA,NA,"falciformis_falciformis",TRUE,2.50609354680107,NA,NA,NA,NA,20.7000564694718,21.4768694799189,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,297500,78.1180400890868,"primary","F0 M. m. musculus","E_falciformis","E_falciformis",21.8819599109132,"Lab","E_falciformis","homologous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.310678636409,-19.9508362629149,-14.5367193355317,-19.1803792048129,-17.1544751699126,-23.0831972968084,-14.7347834490799,-17.2724711458459,-20.6766085717806,-18.0114434176329,-20.5077310076207,-19.5375404307805,-19.8226269952811,-17.5593622830182,-17.1743027920116,-19.4693998106404,-20.7144199390977,-22.2851200267037,-21.7852423243363,-20.2490348095663,-19.0223008757685,-0.931532686665685,-3.91810945384801,-1.28154481955639,-0.537031830297366,-0.226814637857013,7.25251739425188
"LM0383","E10","E88","E88","PWD_PWD","E10aAEX",11.17,14.04,79.5584045584046,NA,9,"primary",NA,NA,NA,NA,1,NA,NA,"falciformis_falciformis",TRUE,3.57660315504164,NA,NA,NA,NA,23.8551028261867,24.2636612195336,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,127500,79.5584045584046,"primary","F0 M. m. musculus","E_falciformis","E_falciformis",20.4415954415954,"Lab","E_falciformis","homologous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.9656391946543,-17.9607548775915,-13.4624090834744,-17.9528646022814,-19.0470851184227,-18.5332231623239,-14.4712096561399,-18.2965913866984,-20.1878528082879,-18.2798906817707,-19.5897642554382,-19.3000514472589,-21.4614544269722,-18.5114137632771,-22.8611842351877,-19.0941263897753,-20.3110050574248,-17.4694366796844,-18.5793523028826,-21.6752057091091,-19.2248328290821,-0.733280374485786,-2.98814482919288,-0.835550309510578,0.765192298761774,-1.08414862539332,7.00214754494359
"LM0384","E10","E88","E64","SCHUNT_SCHUNT","E10aRQH",15.9,19.28,82.4688796680498,NA,11,"primary",NA,NA,NA,NA,1,NA,NA,"falciformis_ferrisi",TRUE,-1.11235294206817,NA,NA,NA,NA,24.718137139379,24.4740181860803,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,987500,82.4688796680498,"primary","F0 M. m. domesticus","E_falciformis","E_ferrisi",17.5311203319502,"Lab","E_ferrisi","heterologous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.9262252955072,-21.1724561852138,-26.271795567956,-18.7012663026742,-18.7318873345241,-24.4298684701689,-21.8766419852637,-18.7695748315726,-21.7424829802056,-19.1052465676005,-21.4919839739135,-20.7609937448577,-24.9880112318209,-26.1404819446318,-19.1876101591929,-20.539449386933,-21.6923800317927,-22.0647515804463,-20.3278980538919,-20.2091453455753,-26.0935027128845,-4.40403035339904,-4.94633694225777,-1.42095904267056,-0.276698852786147,1.91814176445927,3.13717767396289
"LM0386","E10","E88","E64","PWD_PWD","E10aXIP",13.65,16.9,80.7692307692308,NA,9,"primary",NA,NA,NA,NA,1,NA,NA,"falciformis_ferrisi",TRUE,4.5341052366896,NA,NA,NA,NA,21.8622991366291,25.6145339663669,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,457500,80.7692307692308,"primary","F0 M. m. musculus","E_falciformis","E_ferrisi",19.2307692307692,"Lab","E_ferrisi","heterologous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.9363245208997,-16.6716874311189,-13.1187217231384,-15.1283118124618,-16.9266661419771,-16.0505104966248,-13.8927403221293,-17.8946367776508,-19.0374883145722,-16.8981826586977,-18.9430018945569,-18.1451544519983,-17.9450953736857,-17.2030434691985,-14.8725023841676,-16.629919627071,-19.0922524166644,-16.3977571110294,-15.8302062254084,-17.9994460350028,-16.9535157130354,1.4029405383451,-1.86978634935426,-0.102281314657735,0.616571276170847,0.158820099255787,6.31747769338611
"LM0387","E10","E88","E64","PWD_PWD","E10aOJA",11.45,14.16,80.8615819209039,NA,9,"primary",NA,NA,NA,NA,1,NA,NA,"falciformis_ferrisi",TRUE,3.67658168157887,NA,NA,NA,NA,21.3731222035208,27.0202753780377,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,55000,80.8615819209039,"primary","F0 M. m. musculus","E_falciformis","E_ferrisi",19.1384180790961,"Lab","E_ferrisi","heterologous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.8567557903548,-18.3018994243599,-18.3891387239223,-17.7361828481197,-17.4755895064861,-18.4260256164137,-15.3091805444214,-17.9376468415728,-20.4873934271019,-17.9885495174666,-20.2048450832423,-19.4759128336769,-19.948961126185,-20.9558389440196,-22.0007998255049,-19.4966727324908,-19.8697303305369,-22.1472593948709,-19.8927607823543,-19.4246934292027,-21.0105878154278,-1.58244442157263,-3.59602627633056,-0.224217922651513,0.155615423251941,0.137493897976284,5.26422375083468
"LM0388","E10","E88","UNI","SCHUNT_SCHUNT","E10aCCB",18.01,22.81,78.9565979833406,0.18,11,"primary",0,2,2,2,1,6,15000,"falciformis_uninfected",TRUE,-0.674684132371929,NA,NA,NA,NA,19.313050440781,19.4759568900728,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,592500,78.9565979833406,"primary","F0 M. m. domesticus","E_falciformis","uninfected",21.0434020166594,"Lab","E_falciformis","uninfected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.0696585581744,-13.5543079401394,-9.90424847594321,-15.4313028538647,-16.6933315206017,-16.1475959302794,-11.8314558443904,-14.1941767141592,-19.0922524166644,-17.7504127613885,-18.2542470182912,-19.191004190415,-15.9804384499693,-16.3945696274353,-20.3159333464361,-12.8884003872308,-20.0113849868668,-13.3338368455926,-11.8314558443904,-18.665494038629,-13.166919863252,3.45601482127204,-1.50939806677075,-0.563483131860911,0.744620729915336,-0.692284479548103,7.64895709013855
