eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
comp 1;6.5307;34.3719;34.3719;
comp 2;3.0462;16.0328;50.4048;
comp 3;2.4847;13.0774;63.4822;
comp 4;1.3288;6.9939;70.4761;
comp 5;1.0439;5.494;75.9701;
comp 6;0.8796;4.6292;80.5993;
comp 7;0.7284;3.8338;84.4331;
comp 8;0.5616;2.9559;87.389;
comp 9;0.4384;2.3074;89.6964;
comp 10;0.4074;2.144;91.8404;
comp 11;0.2917;1.5355;93.3759;
comp 12;0.2774;1.4598;94.8357;
comp 13;0.2302;1.2118;96.0475;
comp 14;0.2113;1.1119;97.1594;
comp 15;0.1681;0.8845;98.0439;
comp 16;0.1209;0.6361;98.68;
comp 17;0.1023;0.5383;99.2183;
comp 18;0.0888;0.4676;99.6859;
comp 19;0.0597;0.3141;100;

var
coord
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
IFNy;0.7662;-0.1323;-0.0683;-0.1515;-0.1109;
CXCR3;0.6552;0.2489;0.2109;-0.1113;0.2745;
IL.6;0.5929;0.0499;-0.0449;0.2865;-0.4888;
IL.13;0.2451;0.2923;-0.3252;0.7502;0.2585;
IL1RN;0.6274;-0.4095;0.2573;0.22;0.3627;
CASP1;0.2955;0.1207;0.8177;0.1117;-0.097;
CXCL9;0.7478;0.0627;-0.3007;-0.0572;-0.0801;
IDO1;0.891;-0.1368;-0.0842;-0.1353;0.1391;
IRGM1;-0.1724;0.9042;0.0469;-0.0751;0.1489;
MPO;0.3892;-0.5129;0.5387;0.1798;0.185;
MUC2;-0.0646;0.7449;0.4786;0.1748;0.0258;
MUC5AC;0.2321;-0.027;0.8223;0.1579;-0.2135;
MYD88;0.6641;0.162;0.2275;-0.5183;-0.2771;
NCR1;0.587;0.3149;-0.2806;0.138;-0.2169;
PRF1;0.4123;0.2151;-0.0449;-0.3851;0.4636;
RETNLB;0.7722;0.263;-0.1343;0.0762;0.0966;
SOCS1;-0.3725;0.8351;0.1807;-0.0823;0.0281;
TICAM1;0.7251;0.3115;-0.3384;0.1441;-0.1697;
TNF;0.9015;0.049;0.0049;-0.0586;0.0584;

cor
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
IFNy;0.7662;-0.1323;-0.0683;-0.1515;-0.1109;
CXCR3;0.6552;0.2489;0.2109;-0.1113;0.2745;
IL.6;0.5929;0.0499;-0.0449;0.2865;-0.4888;
IL.13;0.2451;0.2923;-0.3252;0.7502;0.2585;
IL1RN;0.6274;-0.4095;0.2573;0.22;0.3627;
CASP1;0.2955;0.1207;0.8177;0.1117;-0.097;
CXCL9;0.7478;0.0627;-0.3007;-0.0572;-0.0801;
IDO1;0.891;-0.1368;-0.0842;-0.1353;0.1391;
IRGM1;-0.1724;0.9042;0.0469;-0.0751;0.1489;
MPO;0.3892;-0.5129;0.5387;0.1798;0.185;
MUC2;-0.0646;0.7449;0.4786;0.1748;0.0258;
MUC5AC;0.2321;-0.027;0.8223;0.1579;-0.2135;
MYD88;0.6641;0.162;0.2275;-0.5183;-0.2771;
NCR1;0.587;0.3149;-0.2806;0.138;-0.2169;
PRF1;0.4123;0.2151;-0.0449;-0.3851;0.4636;
RETNLB;0.7722;0.263;-0.1343;0.0762;0.0966;
SOCS1;-0.3725;0.8351;0.1807;-0.0823;0.0281;
TICAM1;0.7251;0.3115;-0.3384;0.1441;-0.1697;
TNF;0.9015;0.049;0.0049;-0.0586;0.0584;

cos2
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
IFNy;0.5871;0.0175;0.0047;0.0229;0.0123;
CXCR3;0.4293;0.062;0.0445;0.0124;0.0753;
IL.6;0.3516;0.0025;0.002;0.0821;0.239;
IL.13;0.0601;0.0855;0.1057;0.5627;0.0668;
IL1RN;0.3937;0.1677;0.0662;0.0484;0.1316;
CASP1;0.0873;0.0146;0.6686;0.0125;0.0094;
CXCL9;0.5592;0.0039;0.0904;0.0033;0.0064;
IDO1;0.794;0.0187;0.0071;0.0183;0.0194;
IRGM1;0.0297;0.8176;0.0022;0.0056;0.0222;
MPO;0.1515;0.2631;0.2902;0.0323;0.0342;
MUC2;0.0042;0.5549;0.2291;0.0306;7e-04;
MUC5AC;0.0539;7e-04;0.6762;0.0249;0.0456;
MYD88;0.441;0.0263;0.0518;0.2686;0.0768;
NCR1;0.3446;0.0992;0.0787;0.0191;0.047;
PRF1;0.17;0.0463;0.002;0.1483;0.2149;
RETNLB;0.5964;0.0692;0.018;0.0058;0.0093;
SOCS1;0.1388;0.6974;0.0327;0.0068;8e-04;
TICAM1;0.5258;0.097;0.1145;0.0208;0.0288;
TNF;0.8127;0.0024;0;0.0034;0.0034;

contrib
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
IFNy;8.9893;0.5742;0.1878;1.7262;1.179;
CXCR3;6.574;2.0343;1.7902;0.9328;7.217;
IL.6;5.3831;0.0818;0.0811;6.176;22.8916;
IL.13;0.9201;2.8056;4.2554;42.3474;6.3996;
IL1RN;6.0279;5.5039;2.6642;3.6439;12.6049;
CASP1;1.337;0.4785;26.9078;0.939;0.9023;
CXCL9;8.563;0.129;3.6395;0.246;0.6148;
IDO1;12.1574;0.6145;0.2852;1.3784;1.8546;
IRGM1;0.4553;26.84;0.0887;0.4249;2.1231;
MPO;2.3194;8.6355;11.6802;2.4328;3.2769;
MUC2;0.0638;18.2154;9.2205;2.2999;0.0638;
MUC5AC;0.8247;0.0239;27.2147;1.8771;4.3651;
MYD88;6.7535;0.8617;2.0827;20.215;7.3547;
NCR1;5.2762;3.255;3.1693;1.4336;4.5067;
PRF1;2.6036;1.5191;0.0812;11.1594;20.5912;
RETNLB;9.1316;2.27;0.7259;0.4375;0.8931;
SOCS1;2.1249;22.894;1.3145;0.5099;0.0757;
TICAM1;8.0505;3.1848;4.61;1.5621;2.7589;
TNF;12.4446;0.0787;0.001;0.2582;0.3269;

ind
coord
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
1;2.9962;-0.9934;-0.2378;-0.1607;0.2675;
2;2.4948;-1.2277;-0.057;6e-04;-0.0136;
3;3.6724;-0.2454;-1.4078;-0.1498;0.1995;
4;0.9154;-3.0577;-0.201;-0.1063;-0.7;
5;-0.9315;-3.9181;-1.2815;-0.537;-0.2268;
6;-0.7333;-2.9881;-0.8356;0.7652;-1.0841;
