"Mouse_ID","infection_status","species_Eimeria"
"AA0053","TRUE","E_ferrisi"
"AA0061","FALSE","uninfected"
"AA0065","TRUE","E_ferrisi"
"AA0067","TRUE","E_ferrisi"
"AA0078","FALSE","uninfected"
"AA0079","TRUE","E_falciformis"
"AA0082","TRUE","E_falciformis"
"AA0086","FALSE","uninfected"
"AA0090",NA,NA
"AA0093",NA,NA
"AA0094","TRUE","E_ferrisi"
"AA0099",NA,NA
"AA0101",NA,NA
"AA0105",NA,NA
"AA0106",NA,NA
"AA0112","FALSE","uninfected"
"AA0113",NA,NA
"AA0115",NA,NA
"AA0120","TRUE","E_ferrisi"
"AA0121","TRUE","E_ferrisi"
"AA0123",NA,NA
"AA0128",NA,NA
"AA0129",NA,NA
"AA0130","FALSE","uninfected"
"AA0153",NA,NA
"AA0165","TRUE","E_ferrisi"
"AA0167","TRUE","E_ferrisi"
"AA0168","TRUE","E_ferrisi"
"AA0169","TRUE","E_ferrisi"
"AA0171","FALSE","uninfected"
"AA0173","TRUE","E_ferrisi"
"AA0175","FALSE","uninfected"
"AA0176","FALSE","uninfected"
"AA0183","FALSE","uninfected"
"AA0190","FALSE","uninfected"
"AA0202","FALSE","uninfected"
"AA0208","FALSE","uninfected"
"AA0209","FALSE","uninfected"
"AA0237","TRUE","E_ferrisi"
"AA0240","FALSE","uninfected"
"AA0243","TRUE","E_ferrisi"
"AA0244",NA,NA
"AA0246","FALSE","uninfected"
"AA0248",NA,NA
"AA0249","TRUE","E_falciformis"
"AA0250","FALSE","uninfected"
"AA0251","FALSE","uninfected"
"AA0257","TRUE","E_ferrisi"
"AA0259","TRUE","E_ferrisi"
"AA0260","TRUE","E_ferrisi"
"AA0261",NA,NA
"AA0262","FALSE","uninfected"
"AA0271","FALSE","uninfected"
"AA0274","FALSE","uninfected"
"AA0280","FALSE","uninfected"
"AA0287","FALSE","uninfected"
"AA0292","FALSE","uninfected"
"AA0298","TRUE","E_ferrisi"
"AA0301","FALSE","uninfected"
"AA0302","FALSE","uninfected"
"AA0303","TRUE","E_ferrisi"
"AA0306","FALSE","uninfected"
"AA0309","TRUE","E_ferrisi"
"AA0311",NA,NA
"AA0312","TRUE","E_ferrisi"
"AA0314","TRUE","E_ferrisi"
"AA0316","TRUE","E_ferrisi"
"AA0317","TRUE","E_ferrisi"
"AA0319","TRUE","E_ferrisi"
"AA0320","FALSE","uninfected"
"AA0323","FALSE","uninfected"
"AA0329","FALSE","uninfected"
"AA0330","FALSE","uninfected"
"AA0331",NA,NA
"AA0332","FALSE","uninfected"
"AA0334","FALSE","uninfected"
"AA0336","FALSE","uninfected"
"AA0338","FALSE","uninfected"
"AA0341","FALSE","uninfected"
"AA0342","FALSE","uninfected"
"AA0345","TRUE","E_falciformis"
"AA0347","FALSE","uninfected"
"AA0348","TRUE","E_ferrisi"
"AA0350","FALSE","uninfected"
"AA0352","FALSE","uninfected"
"AA0358","FALSE","uninfected"
"AA0360","FALSE","uninfected"
"AA0368","FALSE","uninfected"
"AA0370","FALSE","uninfected"
"AA0372","FALSE","uninfected"
"AA0373","FALSE","uninfected"
"AA0375","TRUE","E_ferrisi"
"AA0376","FALSE","uninfected"
"AA0381","FALSE","uninfected"
"AA0385","FALSE","uninfected"
"AA0386","FALSE","uninfected"
"AA0389","FALSE","uninfected"
"AA0390","FALSE","uninfected"
"AA0393","TRUE","E_ferrisi"
"AA0394","FALSE","uninfected"
"AA0395","FALSE","uninfected"
"AA0396","FALSE","uninfected"
"AA0397","TRUE","E_falciformis"
"AA0399","FALSE","uninfected"
"AA0400","FALSE","uninfected"
"AA0401","FALSE","uninfected"
"AA0402","FALSE","uninfected"
"AA0404","FALSE","uninfected"
"AA0406","FALSE","uninfected"
"AA0407","FALSE","uninfected"
"AA0408","TRUE","E_falciformis"
"AA0413","TRUE","E_ferrisi"
"AA0423","FALSE","uninfected"
"AA0424","FALSE","uninfected"
"AA0428","TRUE","E_ferrisi"
"AA0429","FALSE","uninfected"
"AA0431",NA,NA
"AA0434","FALSE","uninfected"
"AA0437",NA,NA
"AA0438","FALSE","uninfected"
"AA0441","TRUE","E_ferrisi"
"AA0446","TRUE","E_ferrisi"
"AA0447","FALSE","uninfected"
"AA0449","FALSE","uninfected"
"AA0451","FALSE","uninfected"
"AA0452","TRUE","E_ferrisi"
"AA0453","FALSE","uninfected"
"AA0454","TRUE","E_ferrisi"
"AA0455",NA,NA
"AA0456","FALSE","uninfected"
"AA0457","FALSE","uninfected"
"AA0458","TRUE","E_ferrisi"
"AA0460","FALSE","uninfected"
"AA0465","TRUE","E_ferrisi"
"AA0466","FALSE","uninfected"
"AA0468","FALSE","uninfected"
"AA0506","FALSE","uninfected"
"AA0511","FALSE","uninfected"
"AA0512","FALSE","uninfected"
"AA0524","TRUE","E_ferrisi"
"AA0525","TRUE","E_ferrisi"
"AA0526","FALSE","uninfected"
"AA0527","FALSE","uninfected"
"AA0528","FALSE","uninfected"
"AA0529","FALSE","uninfected"
"AA0530","TRUE","E_ferrisi"
"AA0531","TRUE","E_ferrisi"
"AA0532","FALSE","uninfected"
"AA0533","FALSE","uninfected"
"AA0534","FALSE","uninfected"
"AA0535","FALSE","uninfected"
"AA0536","FALSE","uninfected"
"AA0537","FALSE","uninfected"
"AA0538","FALSE","uninfected"
"AA0539","FALSE","uninfected"
"AA0540","FALSE","uninfected"
"AA0542","TRUE","E_ferrisi"
"AA0543","FALSE","uninfected"
"AA0544","FALSE","uninfected"
"AA0546","FALSE","uninfected"
"AA0547","FALSE","uninfected"
"AA0548","FALSE","uninfected"
"AA0549","FALSE","uninfected"
"AA0550","FALSE","uninfected"
"AA0551","FALSE","uninfected"
"AA0552","FALSE","uninfected"
"AA0553","FALSE","uninfected"
"AA0554","TRUE","E_ferrisi"
"AA0555","TRUE","E_falciformis"
"AA0556","TRUE","E_falciformis"
"AA0559","TRUE","E_ferrisi"
"AA0561","TRUE","E_ferrisi"
"AA0563","FALSE","uninfected"
"AA0569","TRUE","uninfected"
"AA0572","TRUE","uninfected"
"AA0579","TRUE","E_ferrisi"
"AA0591","TRUE","E_ferrisi"
"AA0620","FALSE","uninfected"
"AA0623","TRUE","uninfected"
"AA0631","TRUE","uninfected"
"AA0635","TRUE","E_falciformis"
"AA0636","TRUE","uninfected"
"AA0643","TRUE","uninfected"
"AA0646","TRUE","E_falciformis"
"AA0650","TRUE","E_falciformis"
"AA0661","TRUE","E_falciformis"
"AA0662","TRUE","E_falciformis"
"AA0666","TRUE","E_falciformis"
"AA0681","FALSE",NA
"AA0682","FALSE",NA
"AA0683","FALSE",NA
"AA0684","FALSE",NA
"AA0685","TRUE",NA
"AA0686","TRUE",NA
"AA0687","TRUE",NA
"AA0688","TRUE",NA
"AA0689","TRUE",NA
"AA0690","FALSE",NA
"AA0691","FALSE",NA
"AA0692","FALSE",NA
"AA0693","TRUE",NA
"AA0694","TRUE",NA
"AA0695","TRUE",NA
"AA0696","TRUE",NA
"AA0697","FALSE",NA
"AA0698","FALSE",NA
"AA0699","FALSE",NA
"AA0700","TRUE",NA
"AA0701","TRUE",NA
"AA0702","FALSE",NA
"AA0703","FALSE",NA
"AA0704","FALSE",NA
"AA0705","FALSE",NA
"AA0706","FALSE",NA
"AA0707",NA,NA
"AA0708","FALSE",NA
"AA0709","FALSE",NA
"AA0710","FALSE",NA
"AA0711","FALSE",NA
"AA0712",NA,NA
"AA0713","FALSE",NA
"AA0714","FALSE",NA
"AA0715","FALSE",NA
"AA0716","TRUE",NA
"AA0717","FALSE",NA
"AA0718",NA,NA
"AA0719","TRUE",NA
"AA0720","FALSE",NA
"AA0721","TRUE",NA
"AA0722","TRUE",NA
"AA0723","FALSE",NA
"AA0724",NA,NA
"AA0725","FALSE",NA
"AA0726","FALSE",NA
